,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10,FEATURE_11,FEATURE_12,FEATURE_13,FEATURE_14,FEATURE_15,FEATURE_16,FEATURE_17,FEATURE_18,FEATURE_19,FEATURE_20,FEATURE_21,FEATURE_22,FEATURE_23,FEATURE_24,FEATURE_25,FEATURE_26,FEATURE_27,FEATURE_28,FEATURE_29,FEATURE_30,FEATURE_31,FEATURE_32,MEAN,VARIANCE,PERSON
110,30655,84804,100219,47874,86676,56563,60470,99067,82955,31707,64030,79776,26025,87380,80037,21162,30655,84804,100219,47874,86676,56563,60470,99067,82955,31707,64030,79776,26025,87380,80037,21162,40,7,22
111,16293,70521,93896,36908,89077,59691,53137,86573,69679,50430,35452,93993,25300,71105,74373,30091,16293,70521,93896,36908,89077,59691,53137,86573,69679,50430,35452,93993,25300,71105,74373,30091,37,7,22
112,32399,95813,100110,43510,90600,52979,43118,106779,86587,32495,43218,99846,27592,75464,86827,40786,32399,95813,100110,43510,90600,52979,43118,106779,86587,32495,43218,99846,27592,75464,86827,40786,41,7,22
113,37483,90270,87218,32709,90889,44672,53173,81574,101338,45777,43015,89101,31790,103338,92663,39047,37483,90270,87218,32709,90889,44672,53173,81574,101338,45777,43015,89101,31790,103338,92663,39047,41,7,22
114,40309,117186,89580,27652,94707,44137,48219,94220,108106,46702,42857,89046,34503,83489,82737,31980,40309,117186,89580,27652,94707,44137,48219,94220,108106,46702,42857,89046,34503,83489,82737,31980,42,7,22
115,31188,100566,77710,27048,111026,59227,64767,86802,102180,33182,44645,86864,33937,83755,76719,22646,31188,100566,77710,27048,111026,59227,64767,86802,102180,33182,44645,86864,33937,83755,76719,22646,40,7,22
116,43237,120128,100128,24048,101958,43691,40762,96759,105102,50275,36357,98193,30947,72000,84889,29101,43237,120128,100128,24048,101958,43691,40762,96759,105102,50275,36357,98193,30947,72000,84889,29101,42,7,22
117,42727,85324,74477,26736,80058,50390,66578,81692,49379,33434,52910,94938,25147,74677,71956,27717,42727,85324,74477,26736,80058,50390,66578,81692,49379,33434,52910,94938,25147,74677,71956,27717,36,7,22
118,22620,88794,113869,43782,85360,51446,36587,109831,73777,49234,38887,99401,18738,90467,102148,39187,22620,88794,113869,43782,85360,51446,36587,109831,73777,49234,38887,99401,18738,90467,102148,39187,41,7,23
119,19981,94665,102325,43768,81209,43469,42703,107542,75260,33821,38261,112506,35204,80930,103142,49195,19981,94665,102325,43768,81209,43469,42703,107542,75260,33821,38261,112506,35204,80930,103142,49195,41,7,23
120,27174,77813,91116,33647,67784,57649,63092,97356,68282,40342,64167,98577,24745,95252,106797,32995,27174,77813,91116,33647,67784,57649,63092,97356,68282,40342,64167,98577,24745,95252,106797,32995,40,7,23
